S.No.;Org Code;Org Name;Type Code;Type Name;State Code;State Name ;Parent Org Code;Parent Org Name
57;1309;Food & Civil Supplies;2;Department;29;KARNATAKA;;
58;92;FOREST;2;Department;29;KARNATAKA;;
59;1416;Forest Department;2;Department;29;KARNATAKA;;
60;1316;Forests (FEE);2;Department;29;KARNATAKA;;
61;1405;GESCOM;4;Attached Office;29;KARNATAKA;1104;Energy Department
62;1498;Gulbarga University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
63;347;HANDLOOMS AND TEXTILES;2;Department;29;KARNATAKA;;
64;177;HEALTH AND FAMILY WELFARE;2;Department;29;KARNATAKA;;
65;1406;HESCOM;4;Attached Office;29;KARNATAKA;1104;Energy Department
66;1305;Higher Education Department;2;Department;29;KARNATAKA;;
67;1300;Horticulture Department;2;Department;29;KARNATAKA;;
68;1311;Housing Department;2;Department;29;KARNATAKA;;
69;348;INDIAN SYSTEM OF MEDICINE;2;Department;29;KARNATAKA;;
70;1327;Information Technology BT & ST;2;Department;29;KARNATAKA;;
71;357;KANNADA  CULTURE;2;Department;29;KARNATAKA;;
72;1491;Kannada University -Hampi;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
73;1278;Karnataka Evaluation Authority;2;Department;29;KARNATAKA;;
74;1541;Karnataka Housing Board;2;Department;29;KARNATAKA;;
75;1248;Karnataka Information Technology Services;4;Attached Office;29;KARNATAKA;1247;Department of Information Technology
76;1492;Karnataka Janapada Vishwavidyalaya;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
77;930;Karnataka Legislative Council;2;Department;29;KARNATAKA;;
78;1472;Karnataka Public Service Commission;2;Department;29;KARNATAKA;;
79;1288;Karnataka Public Works Department;4;Attached Office;29;KARNATAKA;1284;Public Works, Ports and Inland Water Transport Department
80;1479;Karnataka Residential Educational Institutions Society;2;Department;29;KARNATAKA;;
81;87;Karnataka Rural Engineering Services;2;Department;29;KARNATAKA;;
82;88;Karnataka State Agency Modified;2;Department;29;KARNATAKA;;
83;1508;KARNATAKA STATE DIPLOMA IN NURSING EXAMINATION BOA;2;Department;29;KARNATAKA;;
84;1507;KARNATAKA STATE NURSING COUNCIL;2;Department;29;KARNATAKA;;
85;1473;Karnataka State Open Univerity Mysore;2;Department;29;KARNATAKA;;
86;1506;KARNATAKA STATE PARA MEDICAL BOARD;2;Department;29;KARNATAKA;;
87;84;Karnataka State Planning Department;2;Department;29;KARNATAKA;;
88;1108;Karnataka State Police;2;Department;29;KARNATAKA;;
89;83;Karnataka State PR Department;2;Department;29;KARNATAKA;;
90;1408;Karnataka State Road Transport Corporation;2;Department;29;KARNATAKA;;
91;85;Karnataka State urban Development Department;2;Department;29;KARNATAKA;;
92;949;Karnataka State Warehousing Corporation;2;Department;29;KARNATAKA;;
93;1499;Karnataka University Dharwad;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
94;1474;KSGH Music and Performing Arts University;2;Department;29;KARNATAKA;;
95;1503;Kuvempu University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
96;1321;Labour Department;2;Department;29;KARNATAKA;;
97;1482;Law Department;2;Department;29;KARNATAKA;;
98;1313;Law Department;2;Department;29;KARNATAKA;;
99;1478;Law University;4;Attached Office;29;KARNATAKA;1313;
100;1502;Manasagangotri university mysore;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
101;1485;Mangalore University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
102;1407;MESCOM;4;Attached Office;29;KARNATAKA;1104;Energy Department
103;1411;Mines and Geology Department;4;Attached Office;29;KARNATAKA;1410;Commerce and Industries
104;1319;Mines Tex & SSI;2;Department;29;KARNATAKA;;
105;91;MINOR IRRIGATION;2;Department;29;KARNATAKA;;
106;1318;Minority Welfare Department;2;Department;29;KARNATAKA;;
107;1326;Munisipalities & UDA Department;2;Department;29;KARNATAKA;;
108;1462;NEKRTC;2;Department;29;KARNATAKA;;
109;1467;North Western Karnataka Road Transport Corporation;2;Department;29;KARNATAKA;;
110;1463;NWKRTC;2;Department;29;KARNATAKA;;
111;89;Panchayat Raj Engineering Department;2;Department;29;KARNATAKA;;
112;86;Panchayat Raj Engineering Department (PRED);2;Department;29;KARNATAKA;;
113;1314;Parliamentary Affairs Department;2;Department;29;KARNATAKA;;
114;1323;Planning Department;2;Department;29;KARNATAKA;;
115;1285;Ports and Inland Water Transport Department;4;Attached Office;29;KARNATAKA;1284;Public Works, Ports and Inland Water Transport Department
116;805;Primary and Secondary Education Department;2;Department;29;KARNATAKA;;
117;1306;Primary & Secondary Education;2;Department;29;KARNATAKA;;
118;1320;Public Enterprises Department;2;Department;29;KARNATAKA;;
119;1224;Public Works Department;2;Department;29;KARNATAKA;;
120;1284;Public Works, Ports and Inland Water Transport Department;2;Department;29;KARNATAKA;;
121;1487;Rani channamma University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
122;1283;Registrar of Cooperative Societies;4;Attached Office;29;KARNATAKA;355;CO-OPERATION DEPARTMENT
123;886;Revenue Department;2;Department;29;KARNATAKA;;
124;1324;Revenue Department (Disaster Mgmt);2;Department;29;KARNATAKA;;
125;885;Rural Development;2;Department;29;KARNATAKA;;
126;1325;Rural Development & Panchayat Raj;2;Department;29;KARNATAKA;;
127;1480;Sanskrit University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
128;1310;Secretary  Home (PCAS) Department;2;Department;29;KARNATAKA;;
129;1315;Secretary  Public Works Department;2;Department;29;KARNATAKA;;
130;349;SERICULTURE;2;Department;29;KARNATAKA;;
131;137;SIRD;3;Autonomous Body;29;KARNATAKA;83;Karnataka State PR Department
132;350;SOCIAL WELFARE;2;Department;29;KARNATAKA;;
133;31;Test Department;2;Department;29;KARNATAKA;;
134;1223;Tourism Department;2;Department;29;KARNATAKA;;
135;1225;Transport Department;2;Department;29;KARNATAKA;;
136;1228;Tumkur University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
137;1517;University of Mysore;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
138;1298;Urban Development;2;Department;29;KARNATAKA;;
139;1495;Vijayanagar Sri Krishnadevaraya University Bellary;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
140;1551;Visvesvaraya Jala Nigam Ltd;4;Attached Office;29;KARNATAKA;1107;Department of Water Resources
141;1504;Visvesvaraya Technological University Belagavi;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
142;1497;VSK University;4;Attached Office;29;KARNATAKA;1172;Department of Higher Education
143;1400;Warehouse Department;2;Department;29;KARNATAKA;;
144;1322;Water Resources Department;2;Department;29;KARNATAKA;;
145;352;WOMEN AND CHILD DEVELOPMENT;2;Department;29;KARNATAKA;;
146;1312;Youth Services Department;2;Department;29;KARNATAKA;;
