S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
35.0,858,Labour,Department,,,,4,CHANDIGARH
36.0,859,Legal Remembrancer & Prosecution,Department,,,,4,CHANDIGARH
37.0,879,Local Audit Department,Department,,,,4,CHANDIGARH
38.0,853,Malaria Wing,Department,,,,4,CHANDIGARH
39.0,926,Municipal Corporation Chandigarh,Department,,,,4,CHANDIGARH
40.0,850,Museum & Art Gallery,Department,,,,4,CHANDIGARH
41.0,880,NCC Organisation U.T.,Department,,,,4,CHANDIGARH
42.0,846,Planning & Evaluation Organization,Department,,,,4,CHANDIGARH
43.0,862,Police Department,Department,,,,4,CHANDIGARH
44.0,864,Printing & Stationery,Department,,,,4,CHANDIGARH
45.0,863,Prisons (Model Jail),Department,,,,4,CHANDIGARH
46.0,865,Public Relation,Department,,,,4,CHANDIGARH
47.0,881,Punjab Engineering College,Department,,,,4,CHANDIGARH
48.0,842,Regional Employment Exchange,Department,,,,4,CHANDIGARH
49.0,814,Revenue Department,Department,,,,4,CHANDIGARH
50.0,990,Rural Development and Panchayats,Department,,,,4,CHANDIGARH
51.0,867,Science & Technology,Department,,,,4,CHANDIGARH
52.0,882,Senior Town Planner,Department,,,,4,CHANDIGARH
53.0,883,Sports Department,Department,,,,4,CHANDIGARH
54.0,2480,STATE AGRICULTURAL MARKETING BOARD,Department,,,,4,CHANDIGARH
55.0,861,State Consumer Disputes Redressal Commission,Department,,,,4,CHANDIGARH
56.0,1423,State Legal Services Authority,Department,,,,4,CHANDIGARH
57.0,870,State Transport Authority,Department,,,,4,CHANDIGARH
58.0,884,Statistical Cell,Department,,,,4,CHANDIGARH
59.0,6,Test Department,Department,,,,4,CHANDIGARH
60.0,871,Tourism,Department,,,,4,CHANDIGARH
61.0,517,Tourism Department,Department,,,,4,CHANDIGARH
62.0,815,Urban Development Department,Department,,,,4,CHANDIGARH
63.0,857,U.T. Guest House,Department,,,,4,CHANDIGARH
64.0,847,U.T. Secretariat,Department,,,,4,CHANDIGARH
65.0,873,Weights & Measures,Department,,,,4,CHANDIGARH
66.0,866,Zila Sainik Board,Department,,,,4,CHANDIGARH
67.0,2135,Chandigarh State AIDS Control Society,Organization,851,Health Department (GMSH),Department,4,CHANDIGARH
68.0,1644,National Health Mission,Organization,851,Health Department (GMSH),Department,4,CHANDIGARH
69.0,104,SIRD,Organization,463,Department of Panchayati Raj and RD,Department,4,CHANDIGARH
1.0,221,Agriculture Department,Department,,,,22,CHHATTISGARH
2.0,1386,Animal Husbandry Department,Department,,,,22,CHHATTISGARH
3.0,278,Chattisgarh Rajya Bhandar Grih Nigam,Department,,,,22,CHHATTISGARH
4.0,249,Chattisgarh Rajya Sahkari Vipadan Sangh Maryadit,Department,,,,22,CHHATTISGARH
5.0,1510,Chhattisgarh Environment Conservation Board,Department,,,,22,CHHATTISGARH
6.0,279,Chhattisgarh State Electricity Board,Department,,,,22,CHHATTISGARH
7.0,1591,CHIEF MINISTER SECRETARIAT,Department,,,,22,CHHATTISGARH
8.0,1233,Commerce and Industries,Department,,,,22,CHHATTISGARH
9.0,248,Co-operative,Department,,,,22,CHHATTISGARH
10.0,293,CREDA,Department,,,,22,CHHATTISGARH
11.0,1110,"Department of Food, Supplies & Consumer Affairs",Department,,,,22,CHHATTISGARH
12.0,291,"Directorate, Panchayat Evam Samaj Sewa",Department,,,,22,CHHATTISGARH
13.0,819,Election Commission,Department,,,,22,CHHATTISGARH
14.0,1231,Electronics & Information Technology,Department,,,,22,CHHATTISGARH
15.0,1387,Energy Department,Department,,,,22,CHHATTISGARH
16.0,1109,"Finance, Banking & insurace",Department,,,,22,CHHATTISGARH
17.0,244,Fisheries Department,Department,,,,22,CHHATTISGARH
18.0,290,Forest Department,Department,,,,22,CHHATTISGARH
19.0,295,Haath Kargha,Department,,,,22,CHHATTISGARH
20.0,296,Hast Shilp,Department,,,,22,CHHATTISGARH
21.0,1519,Home Department,Department,,,,22,CHHATTISGARH
22.0,225,Horticulture Department,Department,,,,22,CHHATTISGARH
23.0,1475,Housing and Environment Department Chhattisgarh,Department,,,,22,CHHATTISGARH
24.0,292,Irrigation,Department,,,,22,CHHATTISGARH
25.0,294,Khadi Gramoddyog,Department,,,,22,CHHATTISGARH
26.0,247,Khadya Nagrik Aapurti Evam Upbhokta Sanrakshan,Department,,,,22,CHHATTISGARH
27.0,50,Khanij Vibhag,Department,,,,22,CHHATTISGARH
28.0,1409,"Labour Department, Chhatisgarh",Department,,,,22,CHHATTISGARH
29.0,286,Labour Welfare,Department,,,,22,CHHATTISGARH
30.0,1232,Manpower Department,Department,,,,22,CHHATTISGARH
31.0,1111,Mineral Resources department,Department,,,,22,CHHATTISGARH
32.0,289,Nagar Pradhikaran,Department,,,,22,CHHATTISGARH
33.0,1509,National Highways Authority of India,Department,,,,22,CHHATTISGARH
34.0,288,Other Backward Class,Department,,,,22,CHHATTISGARH
35.0,474,Panchayat and Rural Development Department - STATE,Department,,,,22,CHHATTISGARH
36.0,246,Planning and Statistical,Department,,,,22,CHHATTISGARH
37.0,282,Police Department,Department,,,,22,CHHATTISGARH
38.0,1113,PRADHAN MANTRI GRAM SADAK YOJANA,Department,,,,22,CHHATTISGARH
39.0,243,Public Health and Family Welfare,Department,,,,22,CHHATTISGARH
40.0,59,Public Health Engineering (PHE),Department,,,,22,CHHATTISGARH
41.0,1388,Public Relation Department,Department,,,,22,CHHATTISGARH
42.0,223,Public Works Department,Department,,,,22,CHHATTISGARH
43.0,297,Resham Vibhag,Department,,,,22,CHHATTISGARH
44.0,817,Revenue and Disaster Management Department,Department,,,,22,CHHATTISGARH
45.0,285,Rojgar Karyalaya,Department,,,,22,CHHATTISGARH
46.0,1483,Rural Engineering Services,Department,,,,22,CHHATTISGARH
47.0,220,School Education,Department,,,,22,CHHATTISGARH
48.0,245,Social Forestry,Department,,,,22,CHHATTISGARH
49.0,284,Social Welfare,Department,,,,22,CHHATTISGARH
50.0,281,Sports and Youth Welfare,Department,,,,22,CHHATTISGARH
51.0,2114,State Audit Directorate CG,Department,,,,22,CHHATTISGARH
52.0,280,Technical Education,Department,,,,22,CHHATTISGARH
53.0,2506,teetwetewtewtwetewtew,Department,,,,22,CHHATTISGARH
54.0,24,Test Department,Department,,,,22,CHHATTISGARH
55.0,1476,Town and Country Planning Department Chhattisgarh,Department,,,,22,CHHATTISGARH
56.0,1112,Transport Deparment,Department,,,,22,CHHATTISGARH
57.0,298,Uddyog,Department,,,,22,CHHATTISGARH
58.0,818,Urban Administration and Development Department,Department,,,,22,CHHATTISGARH
59.0,222,Veterinary Department,Department,,,,22,CHHATTISGARH
60.0,224,Water Resources Department,Department,,,,22,CHHATTISGARH
61.0,287,Welfare of SC-ST,Department,,,,22,CHHATTISGARH
62.0,283,Women and Child Devalopment,Department,,,,22,CHHATTISGARH
63.0,146,SIRD,Organization,474,Panchayat and Rural Development Department - STATE,Department,22,CHHATTISGARH
1.0,994,Chief Electoral Office Delhi,Department,,,,7,DELHI
2.0,1640,Department of Environment,Department,,,,7,DELHI
3.0,1038,Department of Women and Child Development,Department,,,,7,DELHI
4.0,587,General Administration Department,Department,,,,7,DELHI
5.0,2201,Irrigation and Flood Control Department,Department,,,,7,DELHI
6.0,1399,Municipal Corporation of Delhi,Department,,,,7,DELHI
7.0,993,Revenue Department,Department,,,,7,DELHI
8.0,996,Rural Development Department,Department,,,,7,DELHI
9.0,9,Test Department,Department,,,,7,DELHI
10.0,995,Urban Development Department,Department,,,,7,DELHI
1.0,1631,DEPARTMENT OF MUNICIPAL ADMINISTRATION,Department,,,,30,GOA
2.0,480,Department of Panchayati Raj and RD,Department,,,,30,GOA
3.0,1039,Department Women and Child Development,Department,,,,30,GOA
4.0,828,Election Commission,Department,,,,30,GOA
5.0,2153,Office of State Local Fund Auditor,Department,,,,30,GOA
6.0,827,Revenue Department,Department,,,,30,GOA
7.0,32,Test Department,Department,,,,30,GOA
8.0,826,Urban Development Department,Department,,,,30,GOA
9.0,155,SIRD,Organization,480,Department of Panchayati Raj and RD,Department,30,GOA
1.0,110,Agriculture Co-Operation Deptt,Department,,,,24,GUJARAT
2.0,167,BSVS,Department,,,,24,GUJARAT
3.0,1215,Department of Economics Affair,Department,,,,24,GUJARAT
4.0,476,Department of Panchayati Raj and RD,Department,,,,24,GUJARAT
5.0,164,DIC,Department,,,,24,GUJARAT
6.0,172,District Industries Centre,Department,,,,24,GUJARAT
7.0,161,Education,Department,,,,24,GUJARAT
8.0,830,Election Commission,Department,,,,24,GUJARAT
9.0,1236,Electronics & Information Technology,Department,,,,24,GUJARAT
10.0,122,Energy and Petrochemical,Department,,,,24,GUJARAT
11.0,2109,Examiner Local Fund Audit Office,Department,,,,24,GUJARAT
12.0,114,"Food, Civil Supply N Consumer affairs Deptt",Department,,,,24,GUJARAT
13.0,1114,"Food, Supplies & Consumer Affairs",Department,,,,24,GUJARAT
14.0,113,Forest Environment Deptt,Department,,,,24,GUJARAT
15.0,171,General Administration,Department,,,,24,GUJARAT
16.0,163,GSRDC,Department,,,,24,GUJARAT
17.0,169,GSRTC,Department,,,,24,GUJARAT
18.0,2108,Gujarat Local Fund Audit Office,Department,,,,24,GUJARAT
19.0,165,Gujarat Rajya Samaj Kalyan Board,Department,,,,24,GUJARAT
20.0,455,Gujarat State Land Development Co-Operation,Department,,,,24,GUJARAT
21.0,170,Gujarat State Water Supply Severage Board,Department,,,,24,GUJARAT
22.0,111,Health Family Welfare Deptt,Department,,,,24,GUJARAT
23.0,123,Home Department,Department,,,,24,GUJARAT
24.0,120,Industries and Mines Deptt,Department,,,,24,GUJARAT
25.0,124,Information and Broadcasting Department,Department,,,,24,GUJARAT
26.0,119,Irrigation Deptt,Department,,,,24,GUJARAT
27.0,117,Labour and Employment Deptt,Department,,,,24,GUJARAT
28.0,2107,Local Fund Audit,Department,,,,24,GUJARAT
29.0,1167,"Narmada, Water Resources, Water Supply & Kalpsar Department",Department,,,,24,GUJARAT
30.0,168,Others,Department,,,,24,GUJARAT
31.0,116,Panchyat Rural Housing Rural Devlopment Deptt,Department,,,,24,GUJARAT
32.0,121,Port and Fishries,Department,,,,24,GUJARAT
33.0,125,Post and Telegraph,Department,,,,24,GUJARAT
34.0,515,Revenue Department,Department,,,,24,GUJARAT
35.0,118,Road and Building Deptt,Department,,,,24,GUJARAT
36.0,173,Sardar Sarovar Punah Vsvat Agency,Department,,,,24,GUJARAT
37.0,162,Sardar Sarovar Yojana,Department,,,,24,GUJARAT
38.0,115,Social Justice Empowerement Tribal Development Deptt,Department,,,,24,GUJARAT
39.0,166,Talim Rozgar,Department,,,,24,GUJARAT
40.0,26,Test Department,Department,,,,24,GUJARAT
41.0,829,Urban Development Department,Department,,,,24,GUJARAT
42.0,112,Women Child Development Deptt,Department,,,,24,GUJARAT
43.0,2352,Commissioner of Cottage and Rural Industries,Organization,120,Industries and Mines Deptt,Department,24,GUJARAT
44.0,2353,Commissioner of Tourism,Organization,120,Industries and Mines Deptt,Department,24,GUJARAT
45.0,2110,Director Sainik Welfare and Resettlement Gujarat state,Organization,123,Home Department,Department,24,GUJARAT
46.0,2099,Gujarat Police,Organization,123,Home Department,Department,24,GUJARAT
47.0,2319,INSPECTOR GENERAL OF REGISTRATION,Organization,515,Revenue Department,Department,24,GUJARAT
48.0,2317,Office of Chief Engineer Capital Project and Arbitration,Organization,118,Road and Building Deptt,Department,24,GUJARAT
49.0,109,SIRD,Organization,476,Department of Panchayati Raj and RD,Department,24,GUJARAT
50.0,2202,Tourism Corporation of Gujarat Limited,Organization,455,Gujarat State Land Development Co-Operation,Department,24,GUJARAT
1.0,667,Accountant General,Department,,,,6,HARYANA
2.0,1293,Accountant General (Accounting and Entitlement),Department,,,,6,HARYANA
3.0,945,Administration General & Official Trustee & Treasurer Charitable Endowments Department,Department,,,,6,HARYANA
4.0,628,Agriculture Department,Department,,,,6,HARYANA
5.0,629,Animal Husbandry & Dairying Department,Department,,,,6,HARYANA
6.0,632,Archaeology & Museums Department,Department,,,,6,HARYANA
7.0,630,Architecture Department,Department,,,,6,HARYANA
8.0,668,Archives,Department,,,,6,HARYANA
9.0,631,Ayurveda Department,Department,,,,6,HARYANA
10.0,683,Chief Electrical Inspector Department,Department,,,,6,HARYANA
11.0,2471,Chief Minister Office,Department,,,,6,HARYANA
12.0,1460,Chief Minister Secretariat,Department,,,,6,HARYANA
13.0,799,Chief Secretary Office,Department,,,,6,HARYANA
14.0,1638,Citizen Resource Information Department,Department,,,,6,HARYANA
15.0,670,Civil Aviation,Department,,,,6,HARYANA
16.0,671,Consolidation and Land Records,Department,,,,6,HARYANA
17.0,2482,Co-Operation Department,Department,,,,6,HARYANA
18.0,732,Dakshin Haryana Bijli Vitran Nigam,Department,,,,6,HARYANA
19.0,1086,Department of Economics & statistical Analysis,Department,,,,6,HARYANA
20.0,729,Department of Home,Department,,,,6,HARYANA
21.0,1287,Department of Medical Education And Research,Department,,,,6,HARYANA
22.0,1025,Department of Mines & Geology,Department,,,,6,HARYANA
23.0,728,Department of Power,Department,,,,6,HARYANA
24.0,730,Department of Science and Technology,Department,,,,6,HARYANA
25.0,726,Department of Urban Local Bodies,Department,,,,6,HARYANA
26.0,465,Development and Panchayats Department,Department,,,,6,HARYANA
