S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type
116.0,2101,BHARAT ELECTRONICS LTD.,Organization,1593,Department Of Defence Production,Department
117.0,1763,BHARAT HEAVY ELECTRICALS LTD.,Organization,1602,Department Of Heavy Industry,Department
118.0,1927,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORP. LTD.,Organization,1614,Department Of Biotechnology,Department
119.0,1988,BHARATIYA NABHIKIYA VIDYUT NIGAM LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
120.0,1764,BHARAT PUMPS & COMPRESSORS LTD.,Organization,1602,Department Of Heavy Industry,Department
121.0,1067,Bharat Sanchar Nigam Limited,Organization,1066,Department of Telecommunication,Department
122.0,2048,"Bharat Vikas Parishad, Ludhiana, Punjab",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
123.0,1765,BHEL ELECTRICAL MACHINES LTD.,Organization,1602,Department Of Heavy Industry,Department
124.0,2394,Bhopal Yuwa Paryavaran Shikshan and Samajik Sansthan Bhopal Madhya Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
125.0,2293,BIHAR DRUGS AND ORGANIC CHEMICALS LTD,Organization,1586,Department Of Pharmaceuticals,Department
126.0,2031,"Bikaram Nagar Uddayan Sangha, Kolkatta",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
127.0,2030,"Bikas Bharti Welfare Society, Kolkatta",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
128.0,1928,BIOTECHNOLOGY INDUSTRY RESEARCH ASSISTANCE COUNCIL,Organization,1614,Department Of Biotechnology,Department
129.0,2044,"Blind People Association, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
130.0,2075,"Blind Welfare Council, Dahod, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
131.0,1671,BRAHAMPUTRA CRACKERS & POLYMER LTD.,Organization,1584,Department Of Chemicals And Petrochemicals,Department
132.0,1675,BRAHMAPUTRA VALLEY FERTILIZER CORPN. LTD.,Organization,1585,Department Of Fertilizers,Department
133.0,1766,BRAITHWAITE BURN & JESSOP CONSTRUCTION COMPANY LTD.,Organization,1602,Department Of Heavy Industry,Department
134.0,1767,BRIDGE & ROOF CO.(INDIA) LTD.,Organization,1602,Department Of Heavy Industry,Department
135.0,2294,BSNL TOWER CORPORATION,Organization,1066,Department of Telecommunication,Department
136.0,1180,Canara Bank,Organization,1174,Department of Financial Service,Department
137.0,1768,CEMENT CORPN. OF INDIA LTD.,Organization,1602,Department Of Heavy Industry,Department
138.0,1181,Central Bank of India,Organization,1174,Department of Financial Service,Department
139.0,1738,CENTRAL RAILSIDE WAREHOUSE CO. LTD.,Organization,1590,Department Of Food And Public Distribution,Department
140.0,2295,CENTRAL REGISTRY OF SECURITSATION ASSET RECONSTRUCTION AND SECURITY INTEREST OF INDIA (CERSAI),Organization,1174,Department of Financial Service,Department
141.0,2542,Central Sanskrit University,Organization,508,Department of Human Resource and Development,Department
142.0,1739,CENTRAL WAREHOUSING CORPN.,Organization,1590,Department Of Food And Public Distribution,Department
143.0,2395,Centre for Advanced Research and Development Bhopal (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
144.0,2396,Centre for Development Communication and Studies (CDECS) Jaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
145.0,2357,Centre For Environmental Law Education Research and Advocacy (CEERA) and National Law School of India University (NLSIU) Bengaluru,Organization,1560,Department of Drinking Water and Sanitation,Department
146.0,2371,Centre For Environment and Development Thiruvananthapuram,Organization,1560,Department of Drinking Water and Sanitation,Department
147.0,2372,Centre for Environment Education Ahmedabad,Organization,1560,Department of Drinking Water and Sanitation,Department
148.0,2359,Centre for Good Governance Dr R S Tolia Uttarakhand Academy of Administration Nainital,Organization,1560,Department of Drinking Water and Sanitation,Department
149.0,2386,Centre for Organization Development Hyderabad (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
150.0,2058,Centre for Rehabiliation Services & Research- Orissa,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
151.0,2059,Centre for Rehabiliation Services & Research- Orissa,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
152.0,2387,Centre for Science and Environment New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
153.0,2397,Centre for Youth and Social Development Khordha Odisha (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
154.0,2040,"Cherry Blossoms Society, Nagaland",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
155.0,2398,Coastal Salinity Prevention Cell Ahmedabad Gujrat (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
156.0,1182,Corporation Bank,Organization,1174,Department of Financial Service,Department
157.0,2399,Daksh Foundation Jabalpur Madhya Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
158.0,2063,"Debagrame Welfare Society, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
159.0,1183,Dena Bank,Organization,1174,Department of Financial Service,Department
160.0,2366,Development Management Institute Patna,Organization,1560,Department of Drinking Water and Sanitation,Department
161.0,2380,Development Support Centre Ahmedabad (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
162.0,2400,Dev Rishi Educational Society Dehradun Uttarakhnad (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
163.0,2037,"Dikrong Vallley, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
164.0,2056,"Disabled Welfare Society, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
165.0,2043,"District Disability Rehabilitation Centre- East Godvari, AP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
166.0,2401,Down Town Charity Trust Kamrup Assam (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
167.0,2402,Dr Shambhunath Singh Research Foundation Varanasi Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
168.0,1720,E. C. G. C. LTD.,Organization,1588,Department Of Commerce,Department
169.0,1796,EdCIL(India) Ltd.,Organization,1608,Department Of Higher Education,Department
170.0,1989,ELECTRONICS CORPN. OF INDIA LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
171.0,1769,ENGINEERING PROJECTS (INDIA) LTD.,Organization,1602,Department Of Heavy Industry,Department
172.0,2358,Engineering Staff College of India Hyderabad,Organization,1560,Department of Drinking Water and Sanitation,Department
173.0,1770,EPI URBAN INFRA DEVELOPERS LTD. (EPIUIDL),Organization,1602,Department Of Heavy Industry,Department
174.0,1202,Exim Bank,Organization,1174,Department of Financial Service,Department
175.0,2403,Facilitation and Awareness of Community For Empowerment (FACE Society) Rewa MP (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
176.0,1676,FCI ARAVALI GYPSUM & MINERALS (INDIA) LTD.,Organization,1585,Department Of Fertilizers,Department
177.0,2404,Feedback Foundation Charitable Trust New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
178.0,1677,FERTILIZERS & CHEMICALS (TRAVANCORE) LTD.,Organization,1585,Department Of Fertilizers,Department
179.0,1740,FOOD CORPN. OF INDIA,Organization,1590,Department Of Food And Public Distribution,Department
180.0,1745,GARDEN REACH SHIPBUILDERS & ENGINEERS LTD.,Organization,1593,Department Of Defence Production,Department
181.0,2086,"Gauri Shankar, Bhind, MP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
182.0,1201,General Insurance Corporation of India,Organization,1174,Department of Financial Service,Department
183.0,1997,GOA ANTIBIOTICS & PHARMACEUTICALS  LTD.,Organization,509,Department of Health and Family Welfare,Department
184.0,1746,GOA SHIPYARD LTD.,Organization,1593,Department Of Defence Production,Department
185.0,2381,Gramalaya Tiruchirappalli (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
186.0,2406,Gramin Vikas Shodh Sansthan Chitrakoot Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
187.0,2464,Gramin Vikas Trust New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
188.0,2409,Gramodyog Sansthan Mandla Madhya Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
189.0,2405,Gram Vikas Khordha Odisha (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
190.0,2410,Gramvikas Sanstha Aurangabad Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
191.0,2411,Green Earth Organization for Environment Health Safety and Sanitation Kurukshetra Haryana (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
192.0,2388,Gujarat Cleaner Production Centre Gandhinagar (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
193.0,2061,"Guru Nanak Charitable Trust, Ludhiana",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
194.0,2060,"Gyanaram Jhammanlal, Jaipur, Raj.",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
195.0,2082,"Gyanaram Jhammanlal, Jaipur, Rajasthan",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
196.0,1771,HEAVY ENGINEERING CORPN. LTD.,Organization,1602,Department Of Heavy Industry,Department
197.0,2413,Helping Youth Foundation Lucknow Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
198.0,1731,HEMISPHERE PROPERTIES INDIA LTD.,Organization,1066,Department of Telecommunication,Department
199.0,1672,HIL (INDIA) LTD.,Organization,1584,Department Of Chemicals And Petrochemicals,Department
200.0,2373,Himalayan Institute for Environment Ecology and Development Dehradun Uttarakhand,Organization,1560,Department of Drinking Water and Sanitation,Department
201.0,2382,Himalayan Institute Hospital Trust Dehradun (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
202.0,2414,Himmotthan Society Dehradun Uttarakhand (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
203.0,1747,HINDUSTAN AERONAUTICS LTD.,Organization,1593,Department Of Defence Production,Department
204.0,1685,HINDUSTAN ANTIBIOTICS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
205.0,1772,HINDUSTAN CABLES LTD.,Organization,1602,Department Of Heavy Industry,Department
206.0,1678,HINDUSTAN FERTILIZER CORPN. LTD.,Organization,1585,Department Of Fertilizers,Department
207.0,1673,HINDUSTAN FLUOROCARBONS LIMITED,Organization,1584,Department Of Chemicals And Petrochemicals,Department
208.0,1773,HINDUSTAN NEWSPRINT LTD.,Organization,1602,Department Of Heavy Industry,Department
209.0,1674,HINDUSTAN ORGANIC CHEMICALS LTD.,Organization,1584,Department Of Chemicals And Petrochemicals,Department
210.0,1774,HINDUSTAN PAPER CORPORATION LTD.,Organization,1602,Department Of Heavy Industry,Department
211.0,1775,HINDUSTAN PHOTO FILMS MANUFACTURING CO. LTD.,Organization,1602,Department Of Heavy Industry,Department
212.0,1776,HINDUSTAN SALTS LTD.,Organization,1602,Department Of Heavy Industry,Department
213.0,1748,HINDUSTAN SHIPYARD LTD.,Organization,1593,Department Of Defence Production,Department
214.0,1998,HLL BIOTECH LTD.,Organization,509,Department of Health and Family Welfare,Department
215.0,1999,HLL INFRA TECH SERVICES LTD.,Organization,509,Department of Health and Family Welfare,Department
216.0,2000,HLL LIFECARE LTD.,Organization,509,Department of Health and Family Welfare,Department
217.0,2001,HLL MEDIPARK LTD,Organization,509,Department of Health and Family Welfare,Department
218.0,2002,HLL MOTHER & CHILD CARE HOSPITALS LTD.,Organization,509,Department of Health and Family Welfare,Department
219.0,1778,HMT BEARINGS LTD.,Organization,1602,Department Of Heavy Industry,Department
220.0,1779,HMT CHINAR WATCHES LTD.,Organization,1602,Department Of Heavy Industry,Department
221.0,1777,HMT (INTERNATIONAL) LTD.,Organization,1602,Department Of Heavy Industry,Department
222.0,1780,HMT LTD.,Organization,1602,Department Of Heavy Industry,Department
223.0,1781,HMT MACHINE TOOLS LTD.,Organization,1602,Department Of Heavy Industry,Department
224.0,1782,HMT WATCHES LTD.,Organization,1602,Department Of Heavy Industry,Department
225.0,1783,HOOGHLY PRINTING COMPANY LTD.,Organization,1602,Department Of Heavy Industry,Department
226.0,2003,HSCC (INDIA) LTD.,Organization,509,Department of Health and Family Welfare,Department
227.0,2038,"Humanity Foundation, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
228.0,1186,IDBI,Organization,1174,Department of Financial Service,Department
229.0,1686,IDPL (TAMILNADU) LTD.,Organization,1586,Department Of Pharmaceuticals,Department
230.0,1206,IFCI Ltd,Organization,1174,Department of Financial Service,Department
231.0,1759,IIFCL ASSET MANAGEMENT COMPANY LTD.,Organization,1174,Department of Financial Service,Department
232.0,1760,IIFCL PROJECTS LTD.,Organization,1174,Department of Financial Service,Department
233.0,2415,Ikon Welfare Society Gaya Bihar (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
234.0,1761,INDIA INFRASTRUCTURE FINANCE CO. LTD.,Organization,1174,Department of Financial Service,Department
235.0,1721,INDIA INTERNATIONAL CONVENTION AND EXHIBITION CENTRE LTD.,Organization,1588,Department Of Commerce,Department
236.0,1185,Indian Bank,Organization,1174,Department of Financial Service,Department
237.0,2389,Indian Development Center Goutam Buddha Nagar (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
238.0,1687,INDIAN DRUGS & PHARMACEUTICALS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
239.0,2379,Indian Institute for Human Settlements Bangalore (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
240.0,2360,Indian Institute of Public Administration New Delhi,Organization,1560,Department of Drinking Water and Sanitation,Department
241.0,2246,"Indian Institute of Science  Education and Research, SAS Nagar Mohali",Organization,508,Department of Human Resource and Development,Department
242.0,2361,Indian Institute of Technology Bombay,Organization,1560,Department of Drinking Water and Sanitation,Department
243.0,2367,Indian Institute of Technology ISM Dhanbad,Organization,1560,Department of Drinking Water and Sanitation,Department
244.0,1184,Indian Overseas Bank,Organization,1174,Department of Financial Service,Department
245.0,2090,Indian Red Cross Society- Faridabad,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
246.0,2094,"Indian Red Cross Society- Kangra, HP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
247.0,2091,"Indian Red Cross Society-Kangra, HP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
248.0,2095,"Indian Red Cross Society- Kullu, HP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
249.0,2092,"Indian Red Cross Society- Sangrur, Punjab",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
250.0,2093,Indian Red Cross Society- Silvassa,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
251.0,2089,Indian Red Cross Society- Silvassa,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
252.0,2096,"Indian Red Cross Society- Solan, HP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
253.0,2027,"Indian Spinal Injuries Centre, N. Delhi",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
254.0,2041,Indian Spinal Injuries Centre-New Delhi,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
255.0,1929,INDIAN VACCINE CORP. LTD.,Organization,1614,Department Of Biotechnology,Department
256.0,1150,India Post,Organization,1149,Department of Posts,Department
257.0,1722,INDIA TRADE PROMOTION ORGANISATION,Organization,1588,Department Of Commerce,Department
258.0,1749,INDO RUSSIAN HELICOPTERS LTD.,Organization,1593,Department Of Defence Production,Department
259.0,2347,Institute for Integrated Rural Development (IIRD)Shimla Himachal Pradesh,Organization,1560,Department of Drinking Water and Sanitation,Department
260.0,2463,Institute for Integrated Rural Development (IIRD) Shimla Himachal Pradesh (Company),Organization,1560,Department of Drinking Water and Sanitation,Department
261.0,2374,Institute of Health Management Research Bangalore Karnataka,Organization,1560,Department of Drinking Water and Sanitation,Department
262.0,1784,INSTRUMENTATION LTD.,Organization,1602,Department Of Heavy Industry,Department
263.0,2416,International Union for Conservation of Nature New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
264.0,1990,IREL (INDIA) LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
265.0,1732,I T I LTD.,Organization,1066,Department of Telecommunication,Department
266.0,1785,JAGDISHPUR PAPER MILLS LTD.,Organization,1602,Department Of Heavy Industry,Department
267.0,2052,"Jalguti, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
268.0,2465,Jal Seva Charitable Foundation New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
269.0,1729,JAMMU & KASHMIR DEVELOPMENT FINANCE CORPORATION LTD,Organization,1587,Department For Promotion Of Industry And Internal Trade,Department
270.0,2419,Janakalyan Raichur Karnataka (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
271.0,2417,Jan Jagaran Kendra Hazaribagh Jharkhand (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
272.0,2418,Jan Kalyan Parishad Farrukhabad UP (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
